UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
Allied Health Careers Institute,www.ahci.edu,TN,,,,,,82,0,,,,,185,,,,,,
Allstate Hairstyling & Barber College,www.allstatehairstyling.com,OH,,,,,,46,0,,,,,65,,,,,,
Alma College,alma.edu,MI,54270,54270,43272,43272,64,1433,0,293,520,520,20,1465,83,,55,17,22,92
Alpena Community College,www.alpenacc.edu,MI,16140,16140,9440,9440,,1429,255,2,,,,2389,42,31,18,4,7,132
Altierus Career College Everett,https://www.altierus.edu,WA,,,,,,,,,,,,,,,,,,
Altierus Career College-Arlington,https://www.altierus.edu,TX,,,,,,,,,,,,,,,,,,
Altierus Career College-Atlanta West,https://www.altierus.edu,GA,,,,,,,,,,,,,,,,,,
Altierus Career College-Austin,https://www.altierus.edu,TX,,,,,,,,,,,,,,,,,,
Altierus Career College-Bissonnet,https://www.altierus.edu,TX,,,,,,383,0,,,,,562,,,,,,
Altierus Career College-Chesapeake,https://www.altierus.edu,VA,,,,,,,,,,,,,,,,,,
Altierus Career College-Colorado Springs,https://www.altierus.edu,CO,,,,,,,,,,,,,,,,,,
Altierus Career College-Columbus,https://www.altierus.edu,OH,,,,,,,,,,,,,,,,,,
Altierus Career College-Fort Worth South,https://www.altierus.edu,TX,,,,,,,,,,,,,,,,,,
Altierus Career College-Houston Hobby,https://www.altierus.edu,TX,,,,,,,,,,,,,,,,,,
Altierus Career College-Norcross,https://www.altierus.edu,GA,,,18210,18210,,434,0,,,,,547,,,,,,
Altierus Career College-Orange Park,https://www.altierus.edu,FL,,,,,,,,,,,,,,,,,,
Altierus Career College-San Antonio,https://www.altierus.edu,TX,,,,,,,,,,,,,,,,,,
Altierus Career College-Tacoma,https://www.altierus.edu,WA,,,,,,,,,,,,,,,,,,
Altierus Career College-Tampa,https://www.altierus.edu,FL,,,20590,20590,,222,13,16,,,,1437,,,,,,
Altierus Career College-Thornton,https://www.altierus.org/campus/thornton,CO,,,,,,7,14,,,,,142,,,,,,
Altierus Career College-Tigard,https://www.altierus.edu,OR,,,,,,,,,,,,,,,,,,
Altierus Career College-Woodbridge,https://www.altierus.edu,VA,,,,,,,,,,,,,,,,,,
Altierus Career Education-South Plainfield,https://www.altierus.edu,NJ,,,,,,,,,,,,,,,,,,
Altierus Career Education-Southfield,https://www.altierus.edu,MI,,,,,,,,,,,,,,,,,,
Altoona Beauty School Inc,WWW.ALTOONABEAUTYSCHOOL.COM,PA,,,,,,40,0,,,,,90,,,,,,
Alvernia University,https://www.alvernia.edu,PA,51240,51240,38900,38900,68,2196,17,370,480,470,17,2730,72,,84,8,18,282
Alverno College,https://www.alverno.edu,WI,40693,40693,33047,33047,70,1219,5,298,,,,1405,154,,58,6,6,119
Alvin Community College,www.alvincollege.edu,TX,,,10196,9044,,5573,822,,,,,8578,,,,,,
Amarillo College,www.actx.edu,TX,,,10429,8893,,9854,1227,,,,,13075,,,,,,
Amberton University,www.amberton.edu,TX,,,,,,189,0,50,,,,386,,,,,,77
Ambiance Beauty & Barber Academy Inc,www.ambiancebeautyandbarberacademy.com,FL,,,,,,26,0,,,,,45,,,,,,
Ambria College of Nursing,ambria.edu,IL,,,,,,234,51,0,,,,457,,,,,,
America Evangelical University,www.aeu.edu/,CA,,,10915,10915,,36,0,2,,,,21,,,,,,7
American Academy McAllister Institute of Funeral Service,www.funeraleducation.org,NY,,,19285,19285,,440,80,,,,,645,,,,,,
American Academy of Acupuncture and Oriental Medicine,www.aaaom.edu,MN,,,,,,0,0,0,,,,,,,,,,
American Academy of Art,www.aaart.edu,IL,,,38935,38935,,242,0,53,,,,266,,,,,,
American Academy of Cosmetology,www.aacschool.com/,FL,,,,,,90,0,,,,,160,,,,,,
American Academy of Dramatic Arts-Los Angeles,www.aada.edu,CA,50385,50385,42030,42030,79,263,119,,,,,310,,,,,,
American Academy of Dramatic Arts-New York,www.aada.edu,NY,58619,58619,41584,41584,84,270,134,,,,,346,,,,,,
American Advanced Technicians Institute,www.aati.edu,FL,,,,,,66,0,,,,,101,,,,,,
American Baptist College,www.abcnash.edu,TN,24644,24644,16004,16004,,123,2,32,,,,135,,,,,,
American Baptist Seminary of the West,www.absw.edu,CA,,,,,,0,0,0,,,,,,,,,,
American Barber Academy,americanbarberacademy.com,PA,,,,,,44,0,,,,,72,,,,,,
American Beauty Academy,www.americanbeauty.edu,UT,,,,,,32,0,,,,,33,,,,,,
American Beauty Academy-West Valley Campus,americanbeautyutah.com,UT,,,,,,19,0,,,,,103,,,,,,
American Beauty College,www.americanbeautycollege.com,CA,,,,,,129,0,,,,,192,,,,,,
American Beauty School,www.americanbeautyschool.edu,NY,,,,,,151,0,,,,,263,,,,,,
American Beauty Schools,www.americanbeautyschools.com,FL,,,,,,31,0,,,,,92,,,,,,
American Business and Technology University,https://abtu.edu,MO,,,,,,369,18,23,,,,1294,,,,,,106
American Career College-Anaheim,americancareercollege.edu/,CA,,,,,,1027,145,,,,,1535,,,,,,
